FECHA_CORTE;RUC;RAZON_SOCIAL;NOMBRE_COMERCIAL;VIA;DES_VIA;NUMERO;INTERIOR;OBS_DOMICILIO;ZONA;DES_ZONA;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TELEF1;TELEF2;TELEF3;TELEF4;E_MAIL;PAGINA_WEB;CLASE;TIPO_AGENCIA;DES_SERVICIO;MODALIDAD_AUTORIZADA;REP_LEGAL;NRO_CERTIFICADO;FECHA_EXPEDICION
20260824;10763924136;Portillo Velasquez, Franklin;PERU TREK;JR.;ANCASH;345;;;;;120301;JUNÍN;CHANCHAMAYO;CHANCHAMAYO;;;;993264497;perutrek4@gmail.com;;Operador de Turismo;Presencial;;;Franklin Portillo Velasquez;;
20260824;10443526272;Perez Prudencio Zenobia Belina;FULL TRAVEL ADVENTURE;Calle;ALBERTO TATAJE MUÑOZ MZ. A LT. 07;;;;A.H.;ALBERTO TATAJE MUÑOZ MZ. A LT. 07;110505;ICA;PISCO;PARACAS;;;;979271393;reservasfulltravel@gmail.com;;Operador de Turismo;Presencial;;;Zenobia Belina Perez Prudencio;;
20260824;20604403333;M2m Logistica Digital S.A.C.;PARQUE ACUATICO YAKUPARK;AV.;JOSE DE SAN MARTIN MZ. G2 LT. 03;;;;;;110505;ICA;PISCO;PARACAS;;;;967496050;hvirgilio@yakupark.com;www.yakupark.com;Operador de Turismo;Digital;;;Grecia Madeleine Calle Orizano;;
20260824;20608941348;Karai Aventura E.I.R.L.;KARAI AVENTURA;JR.;DOS DE MAYO;1040;;CERCA ALA CAPILLA TINGO PAMPA;CI.;CHACHAPOYAS;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;;;;923146384;hesabu24@gmail.com;www.karaiaventura.com;Operador de Turismo;Digital;;;Henry Santacruz Burga;;
20260824;20605533150;Mar & Luna Travel Tours E.I.R.L.;MAR & LUNA TRAVEL TOURS EIRL;Calle;AA.HH.ALBERTO TATAJE MUÑOZ MZ. B LT. 8 ;;;;A.H.;ALBERTO TATAJE MUÑOZ MZ. B LT. 8;110505;ICA;PISCO;PARACAS;;;;985196416;pelume@hotmail.com;;Operador de Turismo;Presencial;;;Pedro Antonio Luna Medina;;
20260824;20609503778;Q'Eswa Travel E.I.R.L.;QESWA TRAVEL;AV.;MALECON HUANCARO;B-1;302;CONDOMINIO SAN CAMILO;;;080106;CUSCO;CUSCO;SANTIAGO;;;;933705014;info@qeswatravel.com;www.qeswatravel.com;Minorista;Digital;;;Yvan Alexis Recli Gutierrez Cruz;;
20260824;20607868833;Sin Fronteras Tours And Travel E.I.R.L.;SIN FRONTERAS;JR.;BERNARDO ALCEDO G 17-A;;;;;;080106;CUSCO;CUSCO;SANTIAGO;;;;935195539/964512110;fvargas@sinfronterastourandtravels.com;www.sinfronterastourandtravels.com;Operador de Turismo;Digital;;;Juana Rosario Villacrez Del Aguila;;
20260824;20564179745;Ayni Peru Expedition S.A.C.;AYNI PERU EXPEDITION;VIA;URB. MATEO PUMACAHUA A1-2;;A1-2;;URB.;MATEO PUMACAHUA A1-2;080108;CUSCO;CUSCO;WANCHAQ;;;;984397917;aynireservas@gmail.com;www.ayni-peru.com;Operador de Turismo;Digital, Presencial;;;Vilma Gutierrez Condori;;
20260824;20602950604;Peru Pachamama Travel E.I.R.L.;PERU PACHAMAMA TRAVEL AGENCY;Calle;MARQUEZ;219;206;;;;080101;CUSCO;CUSCO;CUSCO;;;;;PERUPACHAMAMATRAVEL@GMAIL.COM;WWW.PERUPACHAMAMA.TRAVEL.COM;Operador de Turismo;Presencial;;;Victor Albert Bernal Torres;;
20260824;20609749114;Inversiones Peru Ecotour S.A.C;PERU ECO TOUR;Calle;LLULLANANCCAY B-Z4;;;;;;081302;CUSCO;URUBAMBA;CHINCHERO;;;;974222646/934993632;cusco@peruecotour.com;www.peruecotour.com;Operador de Turismo;Digital;;;Jose Luis Castro Huaman;;
20260824;20609448963;Machupicchu Express Cusco E.I.R.L.;MACHUPICCHU EXPRESS CUSCO EIRL;AV.;ALEMANIA FEDERAL;1086;2 DO PISO;;;;080105;CUSCO;CUSCO;SAN SEBASTIAN;;;;984996656/984228215;mapiexpress@hotmail.com;www.machupicchuexpresscusco.com;Operador de Turismo;Digital;;;Jesus Rojas Almanza;;
20260824;20511752397;Peru Experiences Belmond S.A.;JOURNEYS IN PERÚ;AV.;ARMENDARIZ;480;601;;URB.;ARMENDARIZ;150122;LIMA;LIMA;MIRAFLORES;;;;5195705;peru.tours@belmond.com;www.belmond.com;Operador de Turismo;Digital;;;Laurent André Carrasset Gros;;
20260824;20564219046;Agencia De Viajes Y Turismo Cusco Tu Destino Travel E.I.R.L.;CUSCO TU DESTINO TRAVEL;JR.;VIRREYNAL;;;;BA.;SANTA ANA;080101;CUSCO;CUSCO;CUSCO;;;;984843334;info@cuscotudestinotravel.com;www.cuscotudestinotravel.com;Operador de Turismo;Digital;;;Deivis Manuel Pumalloclla Alegre;;
20260824;10452984500;Rebatta Campos Jorge Humberto;AVENTURAS EN PARACAS;Calle;ASOC. JOSE DE SAN MARTIN MZ. K1 LT. 18;;;;;;110505;ICA;PISCO;PARACAS;;;;945581665;kiteando.jorge@gmail.com;www.kitesurfingperu.com;Operador de Turismo;Digital;;;Jorge Humberto Rebatta Campos;;
20260824;20608802569;Green Amazon Tours Peru E.I.R.L;GREEN AMAZON TOURS PERU;Calle;CUESTA SANTA ANA ;561;;;;;080101;CUSCO;CUSCO;CUSCO;;;;984070728/939567202;info@greenamazontoursperu.com;www.greenamazontoursperu.com;Operador de Turismo;Digital, Presencial;;;Alex Sandro Olave Qquehuarucho;;
20260824;20602911170;Samay Peru S.Ac.;SANTUARIO TRAVEL;Calle;CHOQUEQUIRAO;347;;;AR.;APV. SURIHUAYLLA GRANDE;080105;CUSCO;CUSCO;SAN SEBASTIAN;;;;622529/903122663;info@santuariotravel.com;www.santuariotravel.com;Operador de Turismo;Digital;;;Cristhian Alagon Martinez;;
20260824;20608268236;Qhapac Nan Travel S.A.C.;QN TRAVEL PERU;VIA;KM 14 CARRETERA LAMAY - POQUES, SECTOR CCACCATO;S/N;;;;;080403;CUSCO;CALCA;LAMAY;;;;920460387;ROSAB@QNPERU.COM;WWW.QNPERU.COM;Operador de Turismo;Digital;;;Rosa Maria Baltazar Silvestre;;
20260824;20602916368;Kusisqa Travel E.I.R.L.;AGENCIA DE VIAJES KUSISQA TRAVEL;VIA;.;;;;URB.;LOS SAUCES F-2-A;080108;CUSCO;CUSCO;WANCHAQ;;;;984020933/984634448;info@kusisqatravel.com;www.kusisqatravel.com;Operador de Turismo;Digital;;;Vicky Sullcaccori Huaman;;
20260824;20490005022;Agencia Operadora De Viajes Y Turismo Raptravel Sociedad Comercial De Responasbilidad Limitada;RAPTRAVEL S.C.R.L.;AV.;HUASCAR N° 222;222;of 303;;;;080101;CUSCO;CUSCO;CUSCO;;;;984186268;aliicia@raptravel.org;www.raptravel.org;Operador de Turismo;Presencial;;;Alicia Huamani Ayanz;;
20260824;20605087061;Machupicchu Happy Trip E.Ir.L.;MACHUPICCHU HAPPY TRIP;AV.;PACHACUTEC ;307;B;;;;080108;CUSCO;CUSCO;WANCHAQ;;;;84782054/984633945/965642157;machupicchuhappytrip@gmail.com;;Operador de Turismo;Presencial;;;Jean Andre Farfan Quintanilla;;
20260824;20609671557;Machupicchu Luxury S.A.C.;MACHUPICCHU LUXURY;AV.;URB. LA FLORIDA;N;5;;URB.;LA FLORIDA N-5;080108;CUSCO;CUSCO;WANCHAQ;;;;925690280/999932969;info@machupicchuluxury.tours;www.exploremachupicchu.com;Minorista;Presencial;;;Bryan Diaz Carrasco;;
20260824;20490728644;Paykikin Adventure Travel;PAYKIKIN ADVENTURE TRAVEL;VIA;CUESTA SANTA ANA;644;;;;;080101;CUSCO;CUSCO;CUSCO;;;;941019950;info@paykikin.com;www.paykikin.com;Operador de Turismo;Presencial;;;Mikail Camacho Valenzuela;;
20260824;20609584972;Inca Soul Peru E.I.R.L.;INCA SOUL PERU;VIA;.;;;;FND.;ROSASPATA L 11;080105;CUSCO;CUSCO;SAN SEBASTIAN;;;;941408363/84608220;info@classicincatrail.com;www.classicincatrail.com;Operador de Turismo;Digital;;;Fredy Lonconi Quispe;;
20260824;20609414368;Caminos Del Inca Peru Travel E.I.R.L.;CAMINOS DEL INCA PERU TRAVEL EIRL;AV.;VIA EXPRESA JOSE GABRIEL CONDORCANQUI, APV SANTA ROSA DE LA G.C. D-13;;;;;;080105;CUSCO;CUSCO;SAN SEBASTIAN;;;;986021579/964124411;caminosdelinkaperutravel@gmail.com;www.caminosdelinkaperutravel.com;Operador de Turismo;Digital;;;Jiliat Lechuga Yarin;;
20260824;20608197991;Agencia De Viajes Y Turismo La Jungla Del Vraem Tours S.A.C.;AGENCIA DE VIAJES Y TURISMO LA JUNGLA DEL VRAEM TOURS;AV.;ARRIBA PERU CON CESAR VALLEJO;;;;;;080910;CUSCO;LA CONVENCIÓN;PICHARI;;;;927302370;JUNGLEVRAEM@GMAIL.COM;;Operador de Turismo;Presencial;;;Cristian Curo Huaman;;
20260824;20490728644;PAYKIKIN ADVENTURE TRAVEL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - PAYKIKIN S.R.L.;PAYKIKIN ADVENTURE TRAVEL;Calle;CUESTA SANTA ANA;644;;;;;080101;CUSCO;CUSCO;CUSCO;;;;941019950;info@paykikin.com;www.paykikin..com;Operador de Turismo;Presencial;;;Mikail Camacho Valenzuela;;
20260824;10427222620;MAYTA QQUERAR, LUCIANA;QORIWAYRA TRAVEL AGENCY;Calle;PLATEROS;373;A;;;;080101;CUSCO;CUSCO;CUSCO;;;;984991088;;www.qoriwayratravel.com;Operador de Turismo;Presencial;;;Luciana Mayta Qquerar;;
20260824;20600837436;Cusco Arica Travel E.I.R.L.;CUSCO ARICA TRAVEL;AV.;PACHACUTEQ;39;;;;;080108;CUSCO;CUSCO;WANCHAQ;;;;984555400;cuscoaricatravel@gmail.com;;Minorista;Presencial;;;Susana Quispe Ccopa;;
20260824;20608857851;Andino Turismo En Peru Empresa Individual De Responsabilidad Limitada-Andino Turismo En Peru E.I.R.L;ANDINO PERU TOURS;VIA;.;;;;URB.;VILLA SAN BLAS C-8;080101;CUSCO;CUSCO;CUSCO;;;;986769066;INFOTOURS@ANDINOPERUTOURS.COM;WWW.ANDINOPERUTOURS.COM;Operador de Turismo;Digital;;;Jesus Ricardo Ccahuana Quinto;;
20260824;20603469861;La Base Lamay S.R.L.;LA BASE LAMAY;Calle;MAYNIQUE ESQUINA CON AYACUCHO S/N;;;;;;080403;CUSCO;CALCA;LAMAY;;;;998752400/974995649;info@labaselamay.com;www.labaselamay.com;Operador de Turismo;Digital, Presencial;;;Franco Aurelio Negri Becerra;;
20260824;20609551209;Inversiones Turisticas Maranura Tours S.A.C.;MARANURA TOURS;AV.;EDGAR DE LA TORRE;S/N;;;;;080904;CUSCO;LA CONVENCIÓN;MARANURA;;;;984351090;reservas@maranuratour.com;www.maranuratour.com;Operador de Turismo;Digital;;;Dorian Hugo Becerra Vargas;;
20260824;20566517214;Super Tours Perú S.A.C.;SUPER TOURS PERÚ;AV.;UNIVERSITARIA;854;604;;;;150136;LIMA;LIMA;SAN MIGUEL;;;;994215639/954711159;contabilidad.supertours@gmail.com;www.supertoursperu.com;Minorista, Operador de Turismo;Digital;;;Marienela Mendoza Alata;;
20260824;20609017792;Andean Footprints Peru S.A.C.;ANDEAN FOOTPRINTS;VIA;URB. JARDINES DEL INCADEL INCA  ;11;C;;URB.;JARDINES DEL INCA C-11 PJE CHIHUANHUAY;080101;CUSCO;CUSCO;CUSCO;;;;;INFO@ANDEANFOOTPRINTS.COM;WWW.ANDEANFOOTPRINTS.COM;Operador de Turismo;Digital;;;Franco Guillen Sanchez;;
20260824;20608989847;Terra Per¿ Aventuras Sociedad Anonima Cerrada;TERRA PERU AVENTURAS;AV.;EJERCITO;809;;;;;080101;CUSCO;CUSCO;CUSCO;;;;993853732/987252307;iterraperu@gmail.com;www.iterraperu.com;Operador de Turismo;Digital;;;Reyner Villalba Collantes;;
20260824;10768432780;Rodan Tours Peru S.A.C. - Rodt S.A.C.;PACCO ANAHUA, YENY;VIA;SIHUAYRO;0;;;ZN.;MOLINO;210401;PUNO;CHUCUITO;JULI;;;;51948230142/51996242061;yenypaccoanahua@hotmail.com;yenypaccoanahua@hotmail.com;Minorista;Digital, Presencial;;;Rodolfo Martin Herrera Cuellar;;
20260824;20609481383;Qhaswa Inversiones Turisticas S.A.C.;QHASWA TRAVEL;Calle;LOS GIRASOLES J-11;;;;URB.;LA FLORIDA;080108;CUSCO;CUSCO;WANCHAQ;;;;974423662;info@qhaswatravel.com;www.qhaswatravel.com;Operador de Turismo;Digital;;;Angela Katherine Mendieta Ticona;;
20260824;20601107946;Agencia De Viajes "Deep House Tour Operator E.I.R.L;DEEP HOUSE TOUR OPERATOR;Calle;CUESTA SANTA ANA;684;;;;;080101;CUSCO;CUSCO;CUSCO;;;;984730516;edhusan@outlook.com;www.deephouseperu.com;Minorista;Presencial;;;Edith Huacac Santa Cruz;;
