FECHA_CORTE;CAMA;HABI;RUC;RAZON_SOCIAL;NOMBRE_COMERCIAL;TELEF1;TELEF2;TELEF3;TELEF4;VIA;DES_VIA;NUMERO;INTERIOR;OBS_DOMICILIO;ZONA;DES_ZONA;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;E_MAIL;PAGINA_WEB;CLASE;CATEGORIA;NRO_CERTIFICADO;FECHA_EXPEDICION;REP_LEGAL
20260824;16;6;10293377524;Cabana Huarca Hermenegildo Elar;MISKIWASI;;;;959444851;Calle;LIMA/ISLAY;;;YANQUE - CHIVAY - CAYLLOMA;CI.;YANQUE;040519;AREQUIPA;CAYLLOMA;YANQUE;miskiwasicolca@hotmail.com;;Albergue;Sin Categoria;;;Hermenegildo Elar Cabana Huarca
20260824;23;14;10308213272;Sosa Sanchez Eliana Anita;DULCE AMANECER;;;;533029;LT.;ALTO ISLAY;9;F;POR EL GRIFO SEÑOR DE LOS MILAGROS;P.J.;MATARANI;040704;AREQUIPA;ISLAY;ISLAY;hostaldulceamanecer.islay@gmail.com;;Hostal;2 Estrellas;;;Eliana Anita Sosa Sanchez
20260824;60;32;20608180070;Peruvian Spots S.A.C.;AVA SPOTS;;;;986697835;CAR.;CUSCO OLLNTAYTAMBOKM 75-SEC. RUMICHOCA -URUBAMBA;;75;;;;081301;CUSCO;URUBAMBA;URUBAMBA;alejo@avaspots.com;www.avaspots.com;Hotel;3 Estrellas;;;Jorge Alejandro Jordan Rivas
20260824;48;23;10411351845;Saravia Sarmiento Vanessa Margot;GRAN HOSTAL PREMIER;;;;571008/959063610;JR.;GARCI CARBAJAL ;117;;CERCA A TRANSDPORTE MARVISUR Y COMITE 4;;CAMANA;040201;AREQUIPA;CAMANÁ;CAMANÁ;breyshka@hotmail.com;;Hostal;2 Estrellas;;;Vanessa Margot Saravia Sarmiento
20260824;8;6;20609213427;Inversiones Madd Art E.I.R.L.;MADD;;;;987450829;JR.;ALMAGRO;625;;;CC.;CENTRO HISTÓRICO;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;lichitadb@gmail.com;;Hostal;2 Estrellas;;;Elizabeth Adolfina Becerra Cieza
20260824;43;31;20605249036;Corporacion Turistica La Merced S.A.C.;LA MERCED;;;;418993;Calle;LA MERCED;407;;;;AREQUIPA;040101;AREQUIPA;AREQUIPA;AREQUIPA;reservas@hotellamercedarequipa.com;;Hotel;3 Estrellas;;;Roxana Mariela Bustamante Caipa
20260824;68;32;20513286989;SAN AGUSTIN RECOLETA S.A.C.;SAN AGUSTIN  RECOLETA;;;;84201419;JR.;RECOLETA;s/n;;;;;081301;CUSCO;URUBAMBA;URUBAMBA;subgerentegeneral@hsa.peru.com;www.hotelsanagustin.com.pe;Hotel;4 Estrellas;;;Ana Carina Meneses Lujan
20260824;36;20;20608239856;Constructora E Inmobiliaria Piramide Wj S.A.C.;LUXOTEL;;;;942368717;AV.;BENAVIDES;169;;A UNA CUADRA DE LA PLAZA DE ARMAS;CI.;;110201;ICA;CHINCHA;CHINCHA ALTA;reservas.luxotel@gmail.com;;Hotel;3 Estrellas;;;Nazario Huayllani Taype
20260824;23;9;10295942857;Quispe Cami Rosa;DOÑA ESPERANZA;;;;984759740;Calle;RAMON CASTILLA ;L-6D;;ENTRE LAS ACLLES RAMON CASTILLA Y DOS DE MAYO;;CHIVAY;040501;AREQUIPA;CAYLLOMA;CHIVAY;rosi.rqc45@gmail.com;;Hostal;2 Estrellas;;;Rosa Quispe Cami
20260824;60;30;20512423516;Negocios E Inversiones Mevel S.A.C.;QALLWA HOTELS;;;;;PRLG;MARISCAL BENAVIDES;1471;;;;;110210;ICA;CHINCHA;SUNAMPE;;www.hotelpalmerasdeasiaperu.com;Hotel;4 Estrellas;;;Victor Gustavo Mejia Rosales
20260824;28;10;20602131808;INVERSIONES CASAVI S.A.C.;HOSTAL LA CASONA MONSANTE;;;;933216097/41260231;JR.;AMAZONAS;746;;;CI.;CHACHAPOYAS ;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;informes@casonamonsante.com;www.casonamonsante.com;Hostal;3 Estrellas;02;09-MAR-2021 05:00:00;Irma Corina Cáceres Vilches
20260824;28;20;20606492198;Inversiones Reyes & Hnos E.I.R.L.;LA COLPA CHINCHANA;;;;;PJ.;LAS PALMAS;01;Mz;;BA.;CENTRO POBLADO SAN BENITO;110206;ICA;CHINCHA;GROCIO PRADO;;;Hotel;3 Estrellas;;;Erik Giorgino Avalos Anton
20260824;;;10235608893;Rios Ore Marivel;SAN CRISTOBAL;;;;;JR.;TRES MASCARAS;389;;;;;050101;AYACUCHO;HUAMANGA;AYACUCHO;;;Hostal;1 Estrella;;;Marivel Rios Ore
20260824;28;20;20600462220;Hogares Y Dise¿Os V Y K Sac;LUNA;;;;;Calle;MAURTUA;149;;;CI.;;110201;ICA;CHINCHA;CHINCHA ALTA;hogares_vyk@outlook.com;;Hotel;3 Estrellas;;;Yessica Kristel Magallanes Mendoza
20260824;31;21;20534953381;Grupo Los Angeles P & V S.A.C.;LOS ANGELES CAMPESTRE;;;;;Calle;SAN RAFAEL;125;;;BA.;;110206;ICA;CHINCHA;GROCIO PRADO;grupolosangelespv@outlook.com;;Hotel;3 Estrellas;;;Jose Levis Picon Saguma
20260824;27;21;20534953381;Grupo Los Angeles P & V S.A.C.;LOS ANGELES;;;;;Calle;LOS ANGELES;369;;;CI.;;110201;ICA;CHINCHA;CHINCHA ALTA;GRUPOLOSANGELESPV@OUTLOOK.COM;;Hotel;2 Estrellas;;;Cruz Adela Visconde Samame
20260824;;;20494430569;Inversiones Bezu S.A.C.;LA COLMENA;;;;66311318;JR.;CUZCO;140;;;;;050101;AYACUCHO;HUAMANGA;AYACUCHO;informes@hotel-colmena.com;http://www.hotel-colmena.com/;Hotel;2 Estrellas;;;Cesar Antonio Berrocal Zuñiga
20260824;30;12;10087192089;MALDONADO CARRILLO, CARMEN EDITH;HUARANJAPO;;;;;CAR.;PANAM SUR NRO. K205 INT. B;S/N;;;BA.;;110205;ICA;CHINCHA;EL CARMEN;huaranjapo@hotmail.com;www.huaranjapo.com;Albergue;Sin Categoria;;;Carmen Edith Maldonado Carrillo
20260824;48;28;10218121832;Lao Loi Tai Ieong; CALLAO;;;;;Calle;CALLAO;228;;;CI.;;110201;ICA;CHINCHA;CHINCHA ALTA;;;Hotel;2 Estrellas;;;Tai Ieong Lao Loi
20260824;;;10282642901;Silvera Quispe Mamerto;GRAU;;;;66303361;Calle;SAN JUAN DE DIOS;192;;;;;050101;AYACUCHO;HUAMANGA;AYACUCHO;hotelgrau192@hotmail.com;;Hotel;1 Estrella;;;Mamerto Silvera Quispe
20260824;;;20494478332;Viavia  Cafe Ayacucho  S.A.C.;VIAVIA  CAFE;;;;66312834;PO.;PORTAL CONSTITUCIÓN;4;;;;;050101;AYACUCHO;HUAMANGA;AYACUCHO;reservas.viaviacafeayacucho@gmail.com;www.viaviacafe.com;Hostal;3 Estrellas;;;Maria Carmela Ruiz Vergara
20260824;10;10;10222882767;JIMENO VASQUEZ, FLOR EDITH;EL CAÑAVERAL;;;;56267537;Calle; LUIS  GALVEZ  RONCEROS;350;;;;;110201;ICA;CHINCHA;CHINCHA ALTA;florjimeno@hotmail.com;;Apart Hotel;3 Estrellas;;;Carlos Omar Cornejo Vega
20260824;10;10;20534964405;Inmobiliaria  El  Cañaveral  S.A.C.;EL  CAÑAVERAL ;;;;56267537;Calle;LUIS  GALVEZ  RONCEROS;350;;;;;110201;ICA;CHINCHA;CHINCHA ALTA;florjimeno@hotmail.com;;Apart Hotel;3 Estrellas;;;Flor Edith Jimeno Vasquez
20260824;33;17;20601524881;EMPRESA DE SERVICIOS NINAWAYRA S.A.C.;HOSTAL LA CASONA DEL ROSARIO;;;;978048656/41792306;JR.;GRAU;521;;;CI.;CHACHAPOYAS ;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;revash9@hotmail.com;;Hostal;3 Estrellas;10;16-SEP-2022 05:00:00;Karin Del Rosario Burga Muñoz
20260824;16;16;10038850682;Clement Clavijo, Karen;HOSTAL "HVG";;;;;JR.;TAYABAMBA;197;;;CI.;;060101;CAJAMARCA;CAJAMARCA;CAJAMARCA;;;Hostal;2 Estrellas;165-14;02-MAY-2014 05:00:00;Karen Clement Clavijo
20260824;;;10009785022;Carlos Castellares Juan Edilberto;VALLE DEL MANTARO;;;;234393;Calle;REAL;1022;;;;;120107;JUNÍN;HUANCAYO;CHILCA;;;Hostal;2 Estrellas;062-2010;07-JUL-2010 05:00:00;Juan Edilberto Carlos Castellares
20260824;;;10044279130;Ramos Villavicencio Maria Elena;NATIVA  INN;;;;54531129;Calle;SUCRE;604;;;;;040501;AREQUIPA;CAYLLOMA;CHIVAY;hotelnativainn@hotmail.com;;Hostal;3 Estrellas;10044279130-001;02-SEP-2010 05:00:00;Maria Elena Ramos Villavicencio
20260824;;;10076412061;Portocarrero Arista Cesar Oswaldo;GENESIS;;;;54452455;Calle;COMANDANTE CANGA;109;;;;;040109;AREQUIPA;AREQUIPA;MARIANO MELGAR;;;Hostal;2 Estrellas;10076412061-001;05-MAY-2011 05:00:00;Cesar Oswaldo Portocarrero Arista
20260824;;;10088198811;Campodonico Reategui Elita Agripina;ELITA´S INN;;;;975386895;Calle;9 DE NOVIEMBRE;A-1;;;;;040201;AREQUIPA;CAMANÁ;CAMANÁ;;;Hostal;2 Estrellas;10088198811-001;25-NOV-2010 05:00:00;Elita Agripina Campodonico Reategui
20260824;;;10095006758;Moro Horna Maria Ysabel;HOSPEDAJE ALONDRA;;;;;Calle;MZA. J LOTE. 32;;;;;;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;;;Hostal;3 Estrellas;219-2011;25-JUL-2011 05:00:00;Maria Ysabel Moro Horna
20260824;56;28;20538268811;ENCANTOS DEL SOL  DE LUNA  S.A.C.;SOL DE LUNA;;;;9566616552;CAR.;CAÑETE -LUNAHUANA;km.35.5;;ANEXO LANGLA;;;150508;LIMA;CAÑETE;LUNAHUANA;pachecominayam@hotmail.com;;Hotel;3 Estrellas;049-2022;06-ABR-2022 05:00:00;Modesto Pacheco Minaya
20260824;82;76;10028719596;RISHING MENDOZA FLOR DE MARIA;AMERICAS;;;;;AV.;LARCO;842;;;;;150122;LIMA;LIMA;MIRAFLORES;reservaciones@howardjohnsonlarco.pe;www.howardjohnsonlarco.pe;Hotel;3 Estrellas;416;11-DIC-2019 05:00:00;Flor De Maria Rishing Mendoza
20260824;;;10178533377;Vasquez Pita Quirino Neptali;HOSTAL BOLOGNESI;;;;;JR.;FRANCISCO BOLOGNESI;737;;;;;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;;;Hostal;2 Estrellas;148-2010;19-JUL-2010 05:00:00;Quirino Neptali Vasquez Pita
20260824;;;10090778299;De La Cruz Melgar Hernando Isaac;TAURO;;;;64246070;JR.;SEBASTIAN LORENTE;1412;;;;;120114;JUNÍN;HUANCAYO;EL TAMBO;;;Hostal;2 Estrellas;0070-2010;13-DIC-2010 05:00:00;Cruz Melgar Hernando Isaac La La 
