FECHA_CORTE;ANIO;ID_MES;MES;DEPARTAMENTO;AEROPUERTO;TIPO_VUELO;TIPO_MOVIMIENTO;NUMERO_PASAJEROS
20260429;2019;1;ENERO;AMAZONAS;CHACHAPOYAS;DOMÉSTICO;LLEGADAS;1068
20260429;2019;1;ENERO;AMAZONAS;CHACHAPOYAS;DOMÉSTICO;SALIDAS;896
20260429;2019;1;ENERO;AMAZONAS;CHACHAPOYAS;DOMÉSTICO;MOVIMIENTO GENERAL;1964
20260429;2019;1;ENERO;AMAZONAS;RODRÍGUEZ DE MENDOZA;DOMÉSTICO;LLEGADAS;0
20260429;2019;1;ENERO;AMAZONAS;RODRÍGUEZ DE MENDOZA;DOMÉSTICO;SALIDAS;0
20260429;2019;1;ENERO;AMAZONAS;RODRÍGUEZ DE MENDOZA;DOMÉSTICO;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;ÁNCASH;COMANDANTE FAP GERMÁN ARIAS GRAZIANI;DOMÉSTICO;LLEGADAS;74
20260429;2019;1;ENERO;ÁNCASH;COMANDANTE FAP GERMÁN ARIAS GRAZIANI;DOMÉSTICO;SALIDAS;67
20260429;2019;1;ENERO;ÁNCASH;COMANDANTE FAP GERMÁN ARIAS GRAZIANI;DOMÉSTICO;MOVIMIENTO GENERAL;141
20260429;2019;1;ENERO;ÁNCASH;JAIME MONTREUIL MORALES;DOMÉSTICO;LLEGADAS;0
20260429;2019;1;ENERO;ÁNCASH;JAIME MONTREUIL MORALES;DOMÉSTICO;SALIDAS;0
20260429;2019;1;ENERO;ÁNCASH;JAIME MONTREUIL MORALES;DOMÉSTICO;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;APURÍMAC;AEROPUERTO DE ANDAHUAYLAS;DOMÉSTICO;LLEGADAS;16
20260429;2019;1;ENERO;APURÍMAC;AEROPUERTO DE ANDAHUAYLAS;DOMÉSTICO;SALIDAS;20
20260429;2019;1;ENERO;APURÍMAC;AEROPUERTO DE ANDAHUAYLAS;DOMÉSTICO;MOVIMIENTO GENERAL;36
20260429;2019;1;ENERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;DOMÉSTICO;LLEGADAS;67218
20260429;2019;1;ENERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;DOMÉSTICO;SALIDAS;71470
20260429;2019;1;ENERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;DOMÉSTICO;MOVIMIENTO GENERAL;138688
20260429;2019;1;ENERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;INTERNACIONAL;LLEGADAS;0
20260429;2019;1;ENERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;INTERNACIONAL;SALIDAS;0
20260429;2019;1;ENERO;AREQUIPA;ALFREDO RODRÍGUEZ BALLÓN;INTERNACIONAL;MOVIMIENTO GENERAL;0
20260429;2019;1;ENERO;AYACUCHO;CORONEL FAP ALFREDO MENDIVIL DUARTE;DOMÉSTICO;LLEGADAS;8515
20260429;2019;1;ENERO;AYACUCHO;CORONEL FAP ALFREDO MENDIVIL DUARTE;DOMÉSTICO;SALIDAS;9549
20260429;2019;1;ENERO;AYACUCHO;CORONEL FAP ALFREDO MENDIVIL DUARTE;DOMÉSTICO;MOVIMIENTO GENERAL;18064
20260429;2019;1;ENERO;CAJAMARCA;JAÉN;DOMÉSTICO;LLEGADAS;12446
20260429;2019;1;ENERO;CAJAMARCA;JAÉN;DOMÉSTICO;SALIDAS;13806
20260429;2019;1;ENERO;CAJAMARCA;JAÉN;DOMÉSTICO;MOVIMIENTO GENERAL;26252
20260429;2019;1;ENERO;CAJAMARCA;MAYOR GENERAL FAP ARMANDO REVOREDO IGLESIAS;DOMÉSTICO;LLEGADAS;11261
20260429;2019;1;ENERO;CAJAMARCA;MAYOR GENERAL FAP ARMANDO REVOREDO IGLESIAS;DOMÉSTICO;SALIDAS;11703
20260429;2019;1;ENERO;CAJAMARCA;MAYOR GENERAL FAP ARMANDO REVOREDO IGLESIAS;DOMÉSTICO;MOVIMIENTO GENERAL;22964
20260429;2019;1;ENERO;CUSCO;ALEJANDRO VELASCO ASTETE;DOMÉSTICO;LLEGADAS;132213
20260429;2019;1;ENERO;CUSCO;ALEJANDRO VELASCO ASTETE;DOMÉSTICO;SALIDAS;144514
20260429;2019;1;ENERO;CUSCO;ALEJANDRO VELASCO ASTETE;DOMÉSTICO;MOVIMIENTO GENERAL;276727
20260429;2019;1;ENERO;CUSCO;ALEJANDRO VELASCO ASTETE;INTERNACIONAL;LLEGADAS;5636
20260429;2019;1;ENERO;CUSCO;ALEJANDRO VELASCO ASTETE;INTERNACIONAL;SALIDAS;5919
20260429;2019;1;ENERO;CUSCO;ALEJANDRO VELASCO ASTETE;INTERNACIONAL;MOVIMIENTO GENERAL;11555
20260429;2019;1;ENERO;HUÁNUCO;ALFEREZ FAP DAVID FIGUEROA FERNANDINI;DOMÉSTICO;LLEGADAS;1080
20260429;2019;1;ENERO;HUÁNUCO;ALFEREZ FAP DAVID FIGUEROA FERNANDINI;DOMÉSTICO;SALIDAS;1184
20260429;2019;1;ENERO;HUÁNUCO;ALFEREZ FAP DAVID FIGUEROA FERNANDINI;DOMÉSTICO;MOVIMIENTO GENERAL;2264
20260429;2019;1;ENERO;HUÁNUCO;TINGO MARÍA;DOMÉSTICO;LLEGADAS;1070
20260429;2019;1;ENERO;HUÁNUCO;TINGO MARÍA;DOMÉSTICO;SALIDAS;1114
20260429;2019;1;ENERO;HUÁNUCO;TINGO MARÍA;DOMÉSTICO;MOVIMIENTO GENERAL;2184
20260429;2019;1;ENERO;ICA;MARÍA REICHE NEUMAN;DOMÉSTICO;LLEGADAS;7569
20260429;2019;1;ENERO;ICA;MARÍA REICHE NEUMAN;DOMÉSTICO;SALIDAS;7572
20260429;2019;1;ENERO;ICA;MARÍA REICHE NEUMAN;DOMÉSTICO;MOVIMIENTO GENERAL;15141
20260429;2019;1;ENERO;ICA;PISCO;DOMÉSTICO;LLEGADAS;61
20260429;2019;1;ENERO;ICA;PISCO;DOMÉSTICO;SALIDAS;75
20260429;2019;1;ENERO;ICA;PISCO;DOMÉSTICO;MOVIMIENTO GENERAL;136
20260429;2019;1;ENERO;ICA;PISCO;INTERNACIONAL;LLEGADAS;145
20260429;2019;1;ENERO;ICA;PISCO;INTERNACIONAL;SALIDAS;145
20260429;2019;1;ENERO;ICA;PISCO;INTERNACIONAL;MOVIMIENTO GENERAL;290
20260429;2019;1;ENERO;JUNÍN;FRANCISCO CARLÉ, JAUJA;DOMÉSTICO;LLEGADAS;7223
